model,C,C0,gamma,C0_prime,gamma_prime,tau_f,tau_s,F_ref,lambda,T_eq,a_f,a_s,epsilon,C_unc,C0_unc,gamma_unc,C0_prime_unc,gamma_prime_unc,tau_f_unc,tau_s_unc,F_ref_unc,lambda_unc,T_eq_unc,a_f_unc,a_s_unc,epsilon_unc
CCSM3,5.8142750921670885,282.82032017633776,0.32753237415493863,281.7043058414137,0.3262399252089764,4.450589584757408,1152.8809798542075,5.239905566665601,0.9784754430947954,5.355173299078856,0.7480101158559698,0.2519898841440303,0.9960539810780633,2.7948299221254045,14.21191566812438,0.01642774505050867,9.196938244249752,0.010603353758203229,2.1384943847345554,13.210152179337767,0.14800299290355176,0.02701621710091862,0.21152195421423617,0.0031011554203875676,0.0031011554203875676,0.03804969363585169
CESM1,8.6085741582286,270.85930379643133,0.14577564341550522,389.6711019467235,0.20971978739709426,8.065812843144121,2314.913072786299,5.812989443301793,0.85665743376428,6.78566392374447,0.8019560654304874,0.19804393456951264,1.4386476539110766,2.8068714584448546,7.5919197012757635,0.0041305063880285806,8.434060267699525,0.004621899030464619,2.630291785575544,23.56156261441968,0.06912016991143274,0.010061269005521893,0.11340946398143834,0.0029321762852557447,0.0029321762852557447,0.02562089243086292
CNRMCM6,8.041282750650785,404.34940558975353,0.2763495323747087,540.6224730714907,0.3694843260784824,8.213360228063399,2358.1491579727476,6.916609384346468,0.6074789947996978,11.385758920976453,0.6191521126686518,0.3808478873313482,1.337018097709281,2.6118548284919836,9.168279572997054,0.0058582879717207995,8.560765623555618,0.005039381320935829,2.671875747521917,23.774383017877742,0.07921645492514816,0.006574664436920589,0.17941420419835985,0.0017633163774844543,0.0017633163774844543,0.021698011725890504
ECEARTH,8.185686285289979,60.18137709648034,0.46971490385803066,79.60629719300344,0.6213261649456719,4.772075891303465,205.40224477945728,7.526152447038101,1.0699669176961037,7.034004811329792,0.6148184289190733,0.38518157108092665,1.3227729412934812,2.100126455040193,5.678160306026601,0.03723457579089849,6.205831925774502,0.0365421022226597,1.2329607005602337,12.649049431051479,0.1897711933036396,0.02652419094295752,0.2487216515339841,0.012028954660795971,0.012028954660795971,0.07030445566580154
ECHAM5,8.999046979558253,170.76933307942326,0.40522396260360577,211.13952036797406,0.501019659460417,8.211856558382827,789.5879175163809,6.9865953620487,0.584883585948233,11.945275145175763,0.5288206227388185,0.47117937726118153,1.2364018560040577,2.6885915930619553,7.934143807339678,0.019168332373779212,6.372702542305341,0.015763556440701758,2.4656584020554386,6.2878223535803475,0.19352334142912173,0.015769908643253654,0.46174670767719717,0.0028153601029968253,0.0028153601029968253,0.04367250737580399
GISSE2R,8.734947848626401,206.17205823991932,0.1814403322305048,284.11994813343176,0.2500378481096344,5.7877305919894475,1363.3325399318026,6.063477897111326,1.2579001898085005,4.820317181154424,0.8327681162054452,0.16723188379455475,1.3780720363319343,3.784190973023831,7.71295665410936,0.0070439304024689986,8.5103517087973,0.007926024711851372,2.508488935227989,16.89943194206149,0.07112883013728719,0.014389546976958453,0.07898082942063292,0.004077477923713561,0.004077477923713561,0.0308861917685277
IPSLCM5A,8.639591121534723,255.97160431688386,0.33285620895277496,325.9587364960544,0.42386494234257815,7.494541343469133,1223.1963778186966,6.463183052071329,0.7247480763822505,8.917834020800468,0.6264044332078211,0.3735955667921789,1.2734175627251567,2.7515089008000913,8.589380160396862,0.010811753627919075,6.977196663263935,0.008340996490520293,2.392194524169983,13.66166488785835,0.11215893962595881,0.012007916017078875,0.2139641584710224,0.0020209770059852732,0.0020209770059852732,0.032908021481607375
MIROC3,8.647008141288946,150.43352326825533,0.48478916652195053,164.69761423168356,0.5307568246550556,6.071109739386797,500.56268285860796,7.52679104801683,0.8829396825710755,8.524694491133525,0.6152501129794872,0.3847498870205129,1.0948198955494268,1.980214203005649,14.325036023059951,0.03558802198376497,11.540559291527837,0.018622602948311886,1.3902684793359275,30.55563542868118,0.1438767067225312,0.023846644417025276,0.2820680547966109,0.004887285955765425,0.004887285955765425,0.07059536282158471
HadGEM2,7.949794558577581,213.42906858451312,0.29255608392839894,242.856217042258,0.3328930978650383,8.129035769881103,1112.4893020216027,6.086616748786597,0.6413062356334427,9.49096766971962,0.6532316809866947,0.34676831901330535,1.1378778844555206,1.9859202126609747,7.3613825563253155,0.010037181845044756,5.168690350896011,0.0069860912921194404,2.0327392952782875,8.20225762524781,0.11756222933365534,0.011990305432199361,0.2551341983174611,0.0017579960354493455,0.0017579960354493455,0.030883825659053524
MPIESM11,11.211900641374744,194.20202861677777,0.17446497742483041,310.23762655894615,0.2787076988816965,7.851209230707058,1385.4422576184088,7.962031202741266,1.1473601523138732,6.939435003633596,0.8023265016766551,0.19767349832334494,1.597499412177323,3.0269708244770896,6.59285432549702,0.0062071006903958005,8.79143570294296,0.008436699818837342,2.1203910701309874,17.623662099527543,0.08992570594912153,0.012701941033159771,0.10974828173396554,0.004439099132684673,0.004439099132684673,0.029863757437943967
